index,start,end,size,name,status,reachable,callers,callees,evidence
0,0x8070,0x8080,0x10,module DSO finalizer wrapper,recovered,no,0,0,BTI entry computes the image DSO handle and tail-calls __cxa_finalize; represented by callback-driven C++ runtime operations
1,0x8080,0x8088,0x8,module no-op callback,recovered,no,1,0,BTI plus RET has no observable source-level effect
2,0x8088,0x8090,0x8,module no-op callback tail alias,recovered,no,0,1,BTI plus unconditional branch to 0x8080 represented by the shared no-op C++ callback
3,0x8090,0x80a4,0x14,nullable module exit-callback dispatcher,recovered,no,0,0,"null callback returns; non-null callback is tail-invoked with no argument mutation, recovered in direct C++"
4,0x80a4,0x80c0,0x1c,module __cxa_atexit registration wrapper,recovered,no,0,0,registers 0x8090 with the incoming callback as argument and the image DSO handle; registration return is preserved in callback-driven C++
5,0x80c0,0x80f4,0x34,correction 0x2b and flag-bit-0 helper,recovered,yes,1,1,writes correction 0x2b then ORs context+0xe0 with 1 in C++
6,0x80f4,0x8128,0x34,correction 0x39 and flag-bit-0 helper,recovered,yes,1,1,writes correction 0x39 then ORs context+0xe0 with 1 in C++
7,0x8128,0x8ad4,0x9ac,client_sdk current-thread stack gate,recovered,yes,1,7,"caller/runtime-supplied Map client_sdk and current-thread stack strings; fixed Android marker, 4.38.2/5.0.0 boundary records, three original marker payload strings and max 20; exact status short-circuit, correction 0x2b/0x39, final 0x0200080000000000 mask and stack-array/client-sdk cleanup recovered cross-ABI in callback-driven C++"
8,0x8ad4,0x8aec,0x18,detector context flag-mask 0x0200080000000000,recovered,no,0,0,"context+0xe0 load, MOV/MOVK mask materialization, OR, store and return recovered in the shared address-to-mask C++ leaf table"
9,0x8af4,0xa334,0x1840,reserved Map value JNI materializer,recovered,yes,1,2,"exact case-sensitive secret_id/headers_id/native_version mapping to 1400000/9/3.67.0, miss no-op, NewStringUTF publication-before-exception, status 34 and null-result success recovered with static ARM64 interpretation"
10,0xa334,0xaf3c,0xc08,native result metadata cleanup,recovered,yes,2,2,clears context+0x18; unconditionally removes four metadata keys with exact status overwrite/preservation modeled in C++
11,0xaf3c,0xcde4,0x1ea8,JNI result byte-array and metadata builder,recovered,yes,1,5,"byte-array creation/copy, flattened four-put order, per-stage status branch, rollback and success return recovered in C++"
12,0xcde4,0xd184,0x3a0,context+0x108 string-consistency stage,recovered,yes,1,4,"15000ms timing pair, producer status 0x34, byte mismatch 0x09, final mask and unconditional free recovered in C++"
13,0xd184,0xd428,0x2a4,realtime threshold comparison,recovered,yes,7,0,"CLOCK_REALTIME/-ENOSYS fallback, millisecond normalization, baseline and strict-threshold byte mutation recovered in C++"
14,0xd428,0xd45c,0x34,cmdline missing/empty wrapper,recovered,yes,2,1,correction 0x34
15,0xd45c,0xd474,0x18,context flag-mask 0x0010000000000200,recovered,yes,1,0,single load/OR/store leaf recovered in C++
16,0xd474,0xd980,0x50c,public-source linked-list check,recovered,yes,1,5,"15000ms timing, list producer, corrections 0x37/0x29, node traversal, final mask and head cleanup recovered in C++"
17,0xd980,0xd9b4,0x34,correction 0x37 and flag-bit-0 helper,recovered,yes,2,1,writes correction 0x37 then ORs context+0xe0 with 1 in C++
18,0xd9b4,0xd9cc,0x18,context flag-mask 0x0080020000000000,recovered,yes,1,0,single load/OR/store leaf recovered in C++
19,0xd9cc,0xddc4,0x3f8,SHA-1 candidate digest comparator,recovered,yes,1,3,"candidate+0x10 length/data descriptor, null-data false path, SHA-1 and exact 20-byte context+0xf0 comparison recovered in C++"
20,0xddc4,0xe674,0x8b0,public-source digest validation stage,recovered,yes,1,6,"parser status 0x38, candidate order +0x38/+0x28/+0x18, any-match acceptance, 0x2a mismatch, final mask and destructor recovered in C++"
21,0xe674,0xe6a8,0x34,correction 0x38 and flag-bit-0 helper,recovered,yes,2,1,writes correction 0x38 then ORs context+0xe0 with 1 in C++
22,0xe6a8,0xe6c0,0x18,context flag-mask 0x0100040000000000,recovered,yes,1,0,single load/OR/store leaf recovered in C++
23,0xe6c0,0xf1c8,0xb08,supplied/expected Java-HMAC comparator,recovered,yes,1,8,"direct C++ preserves three 15000ms probes, API-key/toString/getBytes/Mac/supplied-copy ordering, exact compare, correction 0x07, fail-open result and reverse JNI cleanup; direct branch regression and 14-job parity pass"
24,0xf1c8,0xf1fc,0x34,correction 0x33 and flag-bit-0 helper,recovered,yes,1,1,writes correction 0x33 then ORs context+0xe0 with 1
25,0xf1fc,0xf214,0x18,context flag-mask helper,recovered,yes,1,0,ORs context+0xe0 with 0x0008000000000080
26,0xf214,0xf224,0x10,context stage-complete flag helper,recovered,no,0,0,ORs context+0xe0 with 0x20
27,0xf224,0xf328,0x104,timing correction gate,recovered,yes,1,1,low byte at context+0x08 controls correction 0x05 and flag bit 0; always sets flag 0x20
28,0xf328,0xfce0,0x9b8,environment stage dispatcher,recovered,yes,1,17,"sole-entry flattened CFG reduced to seven ordered probes plus 0xfce0; scratch ownership, thresholds, corrections 01/02/03/08/28/2c/1f, seven timing probes, success/failure return, unconditional fallback and cleanup implemented and regression-tested in C++"
29,0xfce0,0x12a30,0x2d50,environment stage-1 emulator/automation initializer,recovered,yes,1,6,"24 one-time marker decoders represented as immutable plaintext, direct 14-stage fanout, fixed-field correction 0x19, dynamic-slot correction 0x0c, 0.8 score contributions, score>=0.8 ordered correction commit and flag-bit mutation, nested 0x13044 mask stage and status==0 return recovered in direct C++"
30,0x12a30,0x13000,0x5d0,13-predicate post-detector aggregator,recovered,yes,1,14,"same scratch pointer forwarded through fixed 4d9bc/59658/5a8e0/5c6d8/5f900/615d8/6a4e0/6c590/6dbbc/6f758/76f2c/77f7c/78f68 order, first-true short circuit, correction 0x21 plus flag bit zero on hit and unconditional flag bit 33 recovered with static state-machine interpretation and C++ regression"
31,0x13000,0x13044,0x44,context fallback mask stage,recovered,yes,2,1,"ordered masks 0x00001181c000010e, nested 0x13044, then bit 33 recovered in C++"
32,0x13044,0x13078,0x34,nested context mask stage,recovered,yes,2,1,calls 0x7bb98 then ORs 0x02001000 in C++
33,0x13078,0x13088,0x10,context flag bit-33 leaf,recovered,no,0,0,ORs context+0xe0 with 0x0000000200000000 in C++
34,0x13088,0x13dc4,0xd3c,sub_13088,unknown,yes,1,6,not yet assigned semantic role
35,0x13dc4,0x13dc8,0x4,correction 0x32 tail alias,recovered,no,0,1,single unconditional tail branch to 0x14380 represented by a source-level C++ entry
36,0x13dc8,0x14078,0x2b0,packed-transition filtered record stage,recovered,yes,1,5,"kind-10 record filtering, 0x34bf4 uint16 match gate to correction 0x04, success-only 15000ms timing, allocation-failure correction 0x32, unconditional 0x0004000000000010 mask, temporary-array free and status-zero return recovered cross-ABI in C++"
37,0x14078,0x14338,0x2c0,fixed-loopback filtered record stage,recovered,yes,1,5,"kind-10 record filtering, 0x34954 uint16 match gate to correction 0x0a, success-only 15000ms timing, allocation-failure correction 0x32, unconditional 0x0004000000000400 mask, temporary-array free and status-zero return recovered cross-ABI in C++"
38,0x14338,0x14350,0x18,context flag-mask 0x0004000000000410,recovered,no,0,0,single load/OR/store leaf represented in C++
39,0x14350,0x14368,0x18,context flag-mask 0x0004000000000010,recovered,no,0,0,single load/OR/store leaf represented in C++
40,0x14368,0x14380,0x18,context flag-mask 0x0004000000000400,recovered,no,0,0,single load/OR/store leaf represented in C++
41,0x14380,0x143b4,0x34,correction 0x32 and flag-bit-0 helper A,recovered,yes,3,1,fixed correction write followed by context+0xe0 bit zero represented in C++
42,0x143b4,0x143e8,0x34,correction 0x32 and flag-bit-0 helper B,recovered,yes,1,1,second distinct FDE with the same fixed correction and flag mutation represented in C++
43,0x143e8,0x14e10,0xa28,environment dispatcher,recovered,yes,2,11,"fixed d78b8/db410/13063c/1309cc/1311f0 order, per-probe status resets, result/status corrections 22/35/23/36/25/2d/3a/2e, duplicate-3a suppression and unconditional final mask recovered by full ARM64 state-machine interpretation and callback-driven C++"
44,0x14e10,0x14e44,0x34,correction 0x35 and flag-bit-0 helper,recovered,yes,1,1,fixed correction write followed by context+0xe0 bit zero represented in C++
45,0x14e44,0x14e78,0x34,correction 0x36 and flag-bit-0 helper,recovered,yes,1,1,fixed correction write followed by context+0xe0 bit zero represented in C++
46,0x14e78,0x14eac,0x34,correction 0x3a and flag-bit-0 helper A,recovered,yes,1,1,fixed correction write followed by context+0xe0 bit zero represented in C++
47,0x14eac,0x14ee0,0x34,correction 0x3a and flag-bit-0 helper B,recovered,yes,1,1,second distinct FDE with the same fixed correction and flag mutation represented in C++
48,0x14ee0,0x14ef8,0x18,context flag-mask 0x0460603c00000000,recovered,no,0,0,single load/OR/store leaf represented in C++
49,0x14ef8,0x150b8,0x1c0,ART/linker stat post-stage,recovered,yes,1,3,"correction 0x2f on true result, correction 0x3b on nonzero status, then fixed context mask recovered in C++"
50,0x150b8,0x150ec,0x34,correction 0x3b and flag-bit-0 helper,recovered,yes,1,1,writes correction 0x3b then ORs context+0xe0 with 1 in C++
51,0x150ec,0x15104,0x18,context flag-mask 0x0800800000000000,recovered,no,0,0,single load/OR/store leaf recovered in C++
52,0x15104,0x16b64,0x1a60,sub_15104,unknown,yes,1,4,not yet assigned semantic role
53,0x16b64,0x16b74,0x10,detector context flag-mask 0x1000000000000000,recovered,no,0,0,single context+0xe0 load/OR/store leaf recovered in the shared address-to-mask C++ table
54,0x16b7c,0x1709c,0x520,context+0x108 owned-string producer,recovered,yes,1,3,"Java string/UTF acquisition, wrapping malloc, NUL/copy, status 2, release and local-ref cleanup recovered in C++"
55,0x1709c,0x179f8,0x95c,/proc/self/cmdline owned-string producer,recovered,yes,1,1,"cross-ABI XOR-once fixed OS path, caller-supplied access/openat/read/close/allocation/memory operations, 4095-byte read, statuses 8/12/2, close-before-result gate, wrapping signed-read conversion, terminator-before-copy, late output publication and original negative-read memory-corruption boundary recovered in callback-driven C++"
56,0x179f8,0x18540,0xb48,context+0x110 publicSourceDir string producer,recovered,yes,1,7,"NewStringUTF/object chain, atomic XOR-once field decode, statuses 34/15/2, UTF copy and four-ref cleanup recovered in C++"
57,0x18540,0x1dbd8,0x5698,proc-maps public-source list producer,recovered,yes,1,2,"direct C++ producer preserves access/fopen status 8, fgets/sscanf loop, apk/package predicate, calloc status 2, append-before-strdup ownership, strdup status 2 and unconditional fclose"
58,0x1dbd8,0x1dde0,0x208,owned string-list destructor,recovered,yes,1,0,"16-byte {head,tailSlot} owner, value-before-node free order and empty invariant restoration recovered in C++"
59,0x1dde0,0x1e578,0x798,JNI API-dependent PackageInfo certificate-array selector,recovered,yes,1,8,"signed Android API <28 path uses getPackageInfo flag 0x40, explicitly publishes hasMultipleSigners false and reads PackageInfo.signatures; API >=28 uses flag 0x08000000, PackageInfo.signingInfo, hasMultipleSigners and selects getApkContentsSigners or getSigningCertificateHistory; exact child status short-circuit, caller-owned Signature[] transfer, unchanged early-failure outputs and SigningInfo -> PackageInfo -> PackageManager -> packageName local-ref cleanup recovered cross-ABI in C++"
60,0x1e578,0x1f058,0xae0,JNI certificate Signature[0] SHA1 materializer,recovered,yes,1,9,"certificate selector -> GetObjectArrayElement index zero -> Signature.toByteArray -> MessageDigest.getInstance(SHA1) -> update -> no-arg digest -> GetByteArrayElements flow, status 28 for element failure and 20 for non-20-byte digest, exact 16+4 byte publication, release-before-cleanup, MessageDigest/certificate byte[]/digest byte[]/Signature[] cleanup and original omitted Signature-element delete recovered cross-ABI in C++ with fresh dynamic ownership evidence"
61,0x1f058,0x1f95c,0x904,QEMU/Genymotion socket-path probe,recovered,yes,1,2,"cross-ABI XOR-once /dev/socket/qemud, /dev/qemu_pipe, /dev/socket/genyd and /dev/socket/baseband_genyd constants, two ordered two-path calls to recovered 0x1f95c, shared incoming uint16 accumulation with modulo wrap and environment-stage nonzero correction-0x01 gate recovered in direct C++"
62,0x1f95c,0x1fae4,0x188,path-existence array counter,recovered,yes,3,1,"exact count-bounded pointer walk, 0xd7890 predicate call, match-only uint16 increment and modulo-2^16 wrap implemented and regression-tested in C++"
63,0x1fae4,0x21c34,0x2150,sub_1fae4,unknown,yes,1,2,not yet assigned semantic role
64,0x21c34,0x23274,0x1640,sub_21c34,unknown,yes,1,3,not yet assigned semantic role
65,0x23274,0x23730,0x4bc,readable-file descriptor batch,recovered,yes,2,2,"0x100 record layout, reused 0x801 buffer, per-record first-0x800 clear, readable-file gate, ordered 0x23730 matching, first-match uint16 increment/wrap and read-failure skip implemented and regression-tested in C++"
66,0x23730,0x24444,0xd14,descriptor predicate dispatcher,recovered,yes,4,6,all kinds constant-propagated and implemented: 0 ASCII-CI equality; 1 ASCII-CI prefix; 2 ASCII-CI suffix; 3 ASCII-CI substring; 4 case-sensitive equality; 5 naive case-sensitive substring; 6 case-sensitive suffix; 7 optimized case-sensitive substring; 8 non-null non-empty argument-zero predicate independent of descriptor
67,0x24444,0x24860,0x41c,system-property descriptor-record batch matcher,recovered,yes,4,2,"0x100 record layout, ignored 0xd4678 return, 0x5c zeroed property buffer, ordered descriptor/kind traversal through 0x23730, first-match per-record short circuit and uint16 wrap implemented and regression-tested in C++"
